Article title: Plant's contributions to people shift with glacier retreat;;;;;;;;;;;;;;;;;;;
Authors: Nora Khelidj, Simone Balestra, Marco Stefano Caccianiga, Bruno E.L. Cerabolini, Duccio Tampucci, Gianalberto Losapio. ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Stage;Species;Habitat creation and maintenance ;Pollination;Air quality ;Climate Regulation;Water supply ;Soil ;Natural Hazards ;Pest and Disease ;Nutrient Regulation;Energy;Food; Feed;Raw Materials;Med., biochem. and gen. resources;Ornamental Resources;Scientific learning and inspiration;Physical and psychological experiences;Supporting identities
P;Artemisia genipi;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1
P;Cerastium pedunculatum;1;1;1;1;1;1;0;-1;1;0;0;0;0;0;1;0;1;0
P;Cerastium uniflorum;1;1;1;1;1;1;0;-1;1;0;0;0;0;0;1;0;1;0
P;Geum reptans;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0
P;Leucanthemopsis alpina;1;1;1;1;1;1;0;-1;1;0;0;0;0;1;0;0;1;0
P;Luzula spicata;1;0;1;1;1;1;0;-1;0;0;0;1;0;0;0;0;0;0
P;Oxyria digyna;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1
P;Poa laxa;1;0;1;1;1;1;0;-1;1;0;0;1;0;1;0;0;0;0
P;Ranunculus glacialis;1;1;1;1;1;1;0;1;1;0;-1;-1;0;0;1;0;1;1
P;Salix herbacea;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
P;Saxifraga bryoides;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1
P;Saxifraga oppositifolia;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1
P;Androsace alpina;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0
P;Arabis caerulea;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
P;Botrychium lunaria;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;1
P;Draba aizoides;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0
P;Erigeron uniflorus;1;1;1;1;1;1;0;-1;1;0;0;0;0;1;0;1;1;0
P;Festuca quadriflora;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0
P;Linaria alpina;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0
P;Minuartia sedoides;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0
